name,title,description,datatype,required
Post_ID,Ідентифікатор посту,Системний ідентифікатор посту спостереження. Наприклад: 27255.,string,true
Post_Name,Назва посту,"Назва посту спостереження. Наприклад: р. Серет, 180 км, м. Тернопіль, Тернопільське вдсх., питний в/з.",string,true
Post_Code,Код посту,Відомчий код посту спостереження. Наприклад: ЧЕР ДНЕСТР 0921 0000 0000 0000 0000 0180 02.,string,true
Riverbas_Name,Назва басейну,"Назва річкового басейну, де розміщений пост спостереження. Наприклад: Дністер.",string,true
WaterLab_Name,Назва лабораторії,"Назва головної лабораторії, що виконує ІЛВ. Наприклад: Лабораторія моніторингу вод та ґрунтів Регіонального офісу водних ресурсів у Тернопільській області.",string,true
Latitude,Широта,Географічна широта посту спостереження. Розділювач десяткових значень — крапка. Наприклад: 49.553000.,decimal,true
Longitude,Довгота,Географічна довгота посту спостереження. Розділювач десяткових значень — крапка. Наприклад: 25.579000.,decimal,true
Controle_Date,Дата,Дата відбору проби у форматі ISO 8601 (YYYY-MM-DD). Наприклад: 2020-02-20.,date,true
Azot,Азот загальний,Значення показника «Азот загальний» у мг/дм3. У цій та наступних колонках розділювач десяткових значень — крапка.,decimal,false
BSK5,БСК5,Значення показника «Біохімічне споживання кисню за 5 діб» у мгО2/дм3.,decimal,false
Zavisli,Завислі речовини,Значення показника «Завислі (суспендовані) речовини» в мг/дм3.,decimal,false
Kisen,Кисень розчинений,Значення показника «Кисень розчинений» у мг/дм3.,decimal,false
Sulfat,Сульфат-іони,Значення показника «Сульфат-іони» в мг/дм3.,decimal,false
Hlorid,Хлорид-іони,Значення показника «Хлорид-іони» в мг/дм3.,decimal,false
Amoniy,Амоній-іони,Значення показника «Амоній-іони» в мг/дм3.,decimal,false
Nitrat,Нітрат-іони,Значення показника «Нітрат-іони» в мг/дм3.,decimal,false
Nitrit,Нітрит-іони,Значення показника «Нітрит-іони» в мг/дм3.,decimal,false
Fosfat,Фосфат-іони,"Значення показника «Фосфат-іони
(поліфосфати)» в мг/дм3.",decimal,false
SPAR,СПАР,Значення показника «Синтетичні поверхнево-активні речовини» в мг/дм3.,decimal,false
Permanganat,Перманганатна окислюваність,Значення показника «Перманганатна окислюваність» у мгО2/дм3.,decimal,false
HSK,ХСК,Значення показника «Хімічне споживання кисню» в мгО2/дм3.,decimal,false
Fitoplan,Фітопланктон,Значення показника «Фітопланктон» у  тис. клітин/дм3.,decimal,false
Atrazin,Атразин,Значення показника «Атразин» у мг/дм3.,decimal,false
Simazin,Симазин,Значення показника «Симазин» у мг/дм3.,decimal,false
