Source_ID,Source_Sheet,Expected_Record_Count,Expected_Date_Min,Expected_Date_Max,Resource_ID,Revision_ID,Acquisition_Strategy,Revision_Download_URLs,Expected_Curated_Content_SHA256,Known_Independent_Raw_SHA256,Dataset_Page,Upstream_License,Notes
SRC001,2003-01-01_2007-12-31_output,10010,2003-01-02,2007-12-27,7737beec-69f0-4173-8c1e-28cd358dd686,,ckan_resource_show,,bdd7db3f9ec40d19e89b8af043981d4de45b215280a2ba29fad29d819d9195bf,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC002,2008-01-01_2012-12-30_output,11091,2008-01-03,2012-12-28,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,,ckan_resource_show,,2ed2d10f6f6b601b9ebc766532f21df38c243faa64e00bac5ad9d3d24c010e5b,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC003,2012-12-31_2015-12-31_output,7835,2013-01-02,2015-12-23,d2abc0aa-89c5-4a21-95ba-f1493575d261,,ckan_resource_show,,cc1e270f99441d6e601baeb37e354c82f322c1fe009a913b02e7f2c6b8e09ab1,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC004,2016-01-01_2018-12-31_output,7937,2016-01-03,2018-12-27,c1ab3675-34ad-48f1-ae14-2b81cd4cd66f,,ckan_resource_show,,a19395389223ce9214ed26dfe200a8c5247a22bb5efb149b56674ad76b899159,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC005,2019-01-01_2019-03-31_output,441,2019-01-03,2019-03-28,095aef91-3274-482d-8998-feea5c358f96,,ckan_resource_show,,ef0779a864908fad39018f3d5b641f32e503c3e14ef317b9173f2ec16cb7f9e3,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC006,2019-04-01_2019-06-30_output,459,2019-04-01,2019-06-26,4ef44d26-f304-46ec-8d06-b531713d3c40,,ckan_resource_show,,7b11eeed5e1f610a7e2230bd8b82e968e084981296b0c7feb42d1fe96dd3c171,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC007,2019-07-01_2019-09-30_output,498,2019-07-01,2019-09-30,384a196f-61f2-42ee-9423-af3c70e2a2cc,,ckan_resource_show,,d4178595b4ab0620c52aabf5cd8accce2ddf765d08e191bbcee733d362ba45bf,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC008,2019-10-01_2019-12-31_output,514,2019-10-01,2019-12-24,be7f785a-0cb6-4bac-b226-3f7e38ded4ab,,ckan_resource_show,,51bac4eec5e1eab5c01e695c580bfb3d9aaaf89a50a64ea5f6d1733ec2dd2d8d,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC009,2020-01-01_2020-03-31_output,669,2020-01-02,2020-03-25,8b3c25b9-5aaf-4741-b619-c28782033d97,,ckan_resource_show,,4bf6189b708fd8f5604a82fecc3d87ca66cb747dda3433a3028d32f50b5f27d1,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC010,2020-04-01_2020-06-30_output,707,2020-04-01,2020-06-25,b3710c4f-9b8d-4cd5-a19e-6748e49a2fca,,ckan_resource_show,,0594b15917139e6a81aeda1e0f95f0fc4e993a195896070d616949d906cb6cfe,a856a4f6448e52ad18a84c9836807a56f0d2f0ac6ba69c4f3268676da1d0dfad,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
