Source_ID,Record_Count,Date_Min,Date_Max,Expected_Curated_Content_SHA256
SRC001,10010,2003-01-02,2007-12-27,bdd7db3f9ec40d19e89b8af043981d4de45b215280a2ba29fad29d819d9195bf
SRC002,11091,2008-01-03,2012-12-28,2ed2d10f6f6b601b9ebc766532f21df38c243faa64e00bac5ad9d3d24c010e5b
SRC003,7835,2013-01-02,2015-12-23,cc1e270f99441d6e601baeb37e354c82f322c1fe009a913b02e7f2c6b8e09ab1
SRC004,7937,2016-01-03,2018-12-27,a19395389223ce9214ed26dfe200a8c5247a22bb5efb149b56674ad76b899159
SRC005,441,2019-01-03,2019-03-28,ef0779a864908fad39018f3d5b641f32e503c3e14ef317b9173f2ec16cb7f9e3
SRC006,459,2019-04-01,2019-06-26,7b11eeed5e1f610a7e2230bd8b82e968e084981296b0c7feb42d1fe96dd3c171
SRC007,498,2019-07-01,2019-09-30,d4178595b4ab0620c52aabf5cd8accce2ddf765d08e191bbcee733d362ba45bf
SRC008,514,2019-10-01,2019-12-24,51bac4eec5e1eab5c01e695c580bfb3d9aaaf89a50a64ea5f6d1733ec2dd2d8d
SRC009,669,2020-01-02,2020-03-25,4bf6189b708fd8f5604a82fecc3d87ca66cb747dda3433a3028d32f50b5f27d1
SRC010,707,2020-04-01,2020-06-25,0594b15917139e6a81aeda1e0f95f0fc4e993a195896070d616949d906cb6cfe
SRC011,733,2020-07-01,2020-09-28,00881dc3562c99597c0e4e92927f04193af306be4d5fbf51fc9c14488d36421f
SRC012,651,2020-10-01,2020-12-22,5120afe69c96c0a3fa32e56e861d6172d6356240333e60227e23ca6ea9be0b32
SRC013,560,2021-01-04,2021-03-31,bef86bab5e5962f45fda87c4470f6847f29fa38f254439d78ae728a50e83a2f6
SRC014,309,2021-04-01,2021-04-28,15c06a9020b40c47ba0c354c4d39ac5fe0db3bd690b9e602e327d2277e01359e
SRC015,215,2021-05-03,2021-05-28,3aafe22bf188bbbb2fdcb3b51ae14af50644b0953d4e1285091fc846d8eb80fd
SRC016,152,2021-06-01,2021-06-25,f2db966c2f9bd418b1198ddb9986d4a7ab3247c9e64fb329c684690b0474c0bb
SRC017,118,2021-07-02,2021-07-27,e698d2387e054c9c8ed194dee1d09460b39c83c795fe6f48c23cc1740e13725a
SRC018,82,2021-08-02,2021-08-17,7c5982f4130b25af37cb797cc2ed786d14dfe38400a059e17a362e6af9f71ed3
SRC019,93,2021-09-01,2021-09-22,4f0ac6f3137d5c9897bb552fbf3910a6b8fb0c4c895fb11712a4f8d4ad44b93e
SRC020,100,2021-10-04,2021-10-26,2975ccba63902f51f8d7ef8a4ed6ab08dbf874a9ee6132cbcbbc0003ed8d68a0
SRC021,70,2021-11-01,2021-11-25,d19a577d20d17a454b0c1d8d10dc38e462d23ae5368dd830e80d4bbb91ad63e6
SRC022,283,2021-12-01,2021-12-22,f18c7aaa9fd91c582818a0bcd6127a47fbf24779f1baf261a0e4fc0db64d9246
