Record_ID,Post_ID,Controle_Date,Parameter,Unit,Value,Flag_Code,Severity,Reason,Previous_Value,Next_Value,Post_Name,Riverbas_Name,Source_ID,Source_Sheet,Auxiliary,Publication_Decision,Verification_Status,Official_Portal_Raw_Status,Official_Portal_Raw_Value,Official_Resource_ID,Official_Revision_ID
SWM_27150_20080903,27150,2008-09-03,Kisen,mg/dm3,77.15,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 0,5 км, м. Миколаїв, Бузький лиман, тех. в/з Миколаївської ТЕЦ (ліва частина морського порту)",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27138_20091208,27138,2009-12-08,Kisen,mg/dm3,63.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 569,5 км, 500 м нижче скиду ВОКВП ВКГ ""Вінницяводоканал""   (1,5 км нижче греблі Сабарівського вдсх.)",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27136_20100316,27136,2010-03-16,Kisen,mg/dm3,90.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 607 км, с. Гущинці, нижче села , питний водозабір м.Калинівка",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_26969_20100723,26969,2010-07-23,Kisen,mg/dm3,35.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Возня, 8 км, с. Рудня Городищенська, питний в/забір м. Малин",Дніпро,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27165_20110210,27165,2011-02-10,Kisen,mg/dm3,29.06,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Інгул, 163 км, смт. Новий Буг, Софіівське вдсх., питний в/з селища",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27135_20111010,27135,2011-10-10,Kisen,mg/dm3,54.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27135_20111108,27135,2011-11-08,Kisen,mg/dm3,60.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27135_20111205,27135,2011-12-05,Kisen,mg/dm3,73.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 652 км, м. Хмільник, питний в/з, вище міста",Південний Буг,SRC002,2008-01-01_2012-12-30_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,a92aa8d3-0612-4bbc-b13d-c2893061eb3d,
SWM_27059_20140722,27059,2014-07-22,Kisen,mg/dm3,78.1,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Ворскла, 273 км, с. Клементове, а/дор. міст, вище техн. в/з м.Охтирка",Дніпро,SRC003,2012-12-31_2015-12-31_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,direct_official_raw_exact,78.099999999999994,d2abc0aa-89c5-4a21-95ba-f1493575d261,223996
SWM_27223_20191022,27223,2019-10-22,Kisen,mg/dm3,90.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Дністер, 900 км, с. Митків, правий берег, 200 м вище станції першого підйому в/з м. Чернівці",Дністер,SRC008,2019-10-01_2019-12-31_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,direct_official_raw_exact,90.0,be7f785a-0cb6-4bac-b226-3f7e38ded4ab,223990
SWM_27137_20200304,27137,2020-03-04,Kisen,mg/dm3,81.7,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Південний Буг, 582 км, м. Вінниця, Сабарівське вдсх,  питний в/з міста, вище міста",Південний Буг,SRC009,2020-01-01_2020-03-31_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,direct_official_raw_exact,81.700000000000003,8b3c25b9-5aaf-4741-b619-c28782033d97,223991
SWM_26968_20211221,26968,2021-12-21,Kisen,mg/dm3,312.0,DQ001_DO_GT25,high,Dissolved oxygen >25 mg/dm3; physically unusual screening threshold. Retain pending source/method review.,,,"р. Ірша, 31 км, м. Малин, питний в/з міста",Дніпро,SRC022,2021-12-01_2021-12-31_output,,retain_unchanged_with_qc_flag,source_lineage_verified_not_error_proven,official_resource_identified_raw_row_not_directly_inspected,,deef55ce-96a5-4aa2-b753-7ffc8855b871,
SWM_27070_20040629,27070,2004-06-29,Simazin,mg/dm3,24000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"канал Дніпро-Донбас, 256 км, с. Грушеваха",Дніпро,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27176_20040629,27176,2004-06-29,Simazin,mg/dm3,24000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 640 км, с.Петровське, вище каналу Дніпро-Донбас, міст",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27178_20040706,27178,2004-07-06,Simazin,mg/dm3,2300.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 610 км, м.Ізюм, вище м.Ізюм, міст автостради ""Харків - Ростов""",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27179_20040706,27179,2004-07-06,Simazin,mg/dm3,13000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 600 км, м.Ізюм. , нижче м.Ізюм.",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27181_20040706,27181,2004-07-06,Simazin,mg/dm3,1300.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 522 км, м.Слов""янськ, Райгородська гребля, питний водозабір  у канал ""Сіверський Донець-Донбас""",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27182_20040706,27182,2004-07-06,Simazin,mg/dm3,6200.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 510 км, Райстародубівська гребля, водозабір Слов'янської ТЕС",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27200_20040706,27200,2004-07-06,Simazin,mg/dm3,1300.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Оскіл, 11 км, Червонооскільське вдсх,  н/б'єф",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27203_20040706,27203,2004-07-06,Simazin,mg/dm3,6200.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Казений Торець, 1 км, с. Райгородок, гирло",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27186_20040714,27186,2004-07-14,Simazin,mg/dm3,24000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 444 км, м.Рубіжне, вище, міст на дорозі  ""м.Рубіжне - м.Новодружеск""",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27188_20040714,27188,2004-07-14,Simazin,mg/dm3,70000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 406 км, с.Світличне, паром",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27210_20040714,27210,2004-07-14,Simazin,mg/dm3,70000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Верхня Біленька, 1 км,  м. Лисичанськ, гирло, міста, міст",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27070_20040726,27070,2004-07-26,Simazin,mg/dm3,6200.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"канал Дніпро-Донбас, 256 км, с. Грушеваха",Дніпро,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
SWM_27176_20040726,27176,2004-07-26,Simazin,mg/dm3,13000.0,DQ002_SIMAZIN_SCALE_ERA,high,2004–2006 Simazin values >=1 form a multi-order-of-magnitude scale discontinuity; max from 2007 onward is <1 mg/dm3. Possible historical unit/scale issue; no correction applied.,,,"р. Сіверський Донець, 640 км, с.Петровське, вище каналу Дніпро-Донбас, міст",Дон,SRC001,2003-01-01_2007-12-31_output,,retain_unchanged_with_qc_flag,unit_scale_unresolved,official_resource_identified_raw_row_not_directly_inspected,,7737beec-69f0-4173-8c1e-28cd358dd686,
