Record_ID,Post_ID,Controle_Date,Field,Correction_Code,Original_Value,Corrected_Value,Correction_Rule,Source_Sheet,Status
SWM_26853_20201013,26853,2020-10-13,Hlorid,TC001_TEXT_DATE_AUTOCONVERSION,15.Лип,15.07,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_26968_20201020,26968,2020-10-20,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,Лис.52,11.52,MMM.YY → month.decimal_digits,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27023_20201109,27023,2020-11-09,Nitrat,TC001_TEXT_DATE_AUTOCONVERSION,04.Тра,4.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27224_20201020,27224,2020-10-20,Azot,TC001_TEXT_DATE_AUTOCONVERSION,01.Лют,1.02,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27224_20201020,27224,2020-10-20,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,10.Кві,10.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27296_20201124,27296,2020-11-24,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,01.Тра,1.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201104,27303,2020-11-04,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,Січ.48,1.48,MMM.YY → month.decimal_digits,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201104,27303,2020-11-04,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,11.Кві,11.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27333_20201104,27333,2020-11-04,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,02.Тра,2.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27333_20201104,27333,2020-11-04,Fosfat,TC001_TEXT_DATE_AUTOCONVERSION,01.Тра,1.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27299_20201012,27299,2020-10-12,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,01.Тра,1.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27299_20201103,27299,2020-11-03,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,10.Тра,10.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27299_20201103,27299,2020-11-03,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,08.Тра,8.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27299_20201202,27299,2020-12-02,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,12.Вер,12.09,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27299_20201202,27299,2020-12-02,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,12.Вер,12.09,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201012,27300,2020-10-12,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,17.Тра,17.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201103,27300,2020-11-03,Hlorid,TC001_TEXT_DATE_AUTOCONVERSION,09.Тра,9.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201103,27300,2020-11-03,HSK,TC001_TEXT_DATE_AUTOCONVERSION,07.Тра,7.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201202,27300,2020-12-02,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,12.Кві,12.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201202,27300,2020-12-02,Hlorid,TC001_TEXT_DATE_AUTOCONVERSION,10.Тра,10.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27300_20201202,27300,2020-12-02,Permanganat,TC001_TEXT_DATE_AUTOCONVERSION,03.Тра,3.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201012,27301,2020-10-12,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,01.Сер,1.08,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201012,27301,2020-10-12,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,10.Чер,10.06,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201103,27301,2020-11-03,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,01.Лип,1.07,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201103,27301,2020-11-03,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,10.Січ,10.01,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201103,27301,2020-11-03,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,10.Кві,10.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27301_20201202,27301,2020-12-02,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,01.Бер,1.03,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27302_20201202,27302,2020-12-02,Zavisli,TC001_TEXT_DATE_AUTOCONVERSION,09.Тра,9.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27302_20201202,27302,2020-12-02,Sulfat,TC001_TEXT_DATE_AUTOCONVERSION,15.Кві,15.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201007,27303,2020-10-07,Azot,TC001_TEXT_DATE_AUTOCONVERSION,Січ.25,1.25,MMM.YY → month.decimal_digits,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201007,27303,2020-10-07,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,Січ.52,1.52,MMM.YY → month.decimal_digits,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201007,27303,2020-10-07,Hlorid,TC001_TEXT_DATE_AUTOCONVERSION,12.Кві,12.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201202,27303,2020-12-02,BSK5,TC001_TEXT_DATE_AUTOCONVERSION,Січ.76,1.76,MMM.YY → month.decimal_digits,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201202,27303,2020-12-02,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,13.Січ,13.01,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27303_20201202,27303,2020-12-02,HSK,TC001_TEXT_DATE_AUTOCONVERSION,11.Кві,11.04,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27304_20201202,27304,2020-12-02,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,12.Вер,12.09,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
SWM_27305_20201117,27305,2020-11-17,Kisen,TC001_TEXT_DATE_AUTOCONVERSION,11.Тра,11.05,DD.MMM → integer.month,2020-10-01_2020-12-31_output,deterministically_corrected
